AHR_ECOLI,LCFA_ECOLI,Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic,Fatty_acyl_CoA_reductase,A1U2T0,A1U3L3,values
2.0,0.0,0.0,0.0,5.0,0.0,0.0
3.0,0.0,0.0,0.0,5.0,0.0,0.0
1.0,0.0,0.0,0.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,1.0,0.0
1.0,0.0,0.0,0.0,6.0,0.0,0.0
2.0,0.0,0.0,0.0,6.0,0.0,0.02395
2.0,0.0,0.0,0.0,6.0,0.0,0.02353
1.0,0.0,0.0,0.0,6.0,0.0,0.02368
3.0,0.0,0.0,3.0,6.0,1.0,0.0
3.0,0.0,0.0,4.0,6.0,1.0,0.0
3.0,0.0,0.0,3.0,6.0,0.0,0.0
3.0,0.0,0.0,0.0,6.0,1.0,0.0
3.0,0.0,0.0,4.0,6.0,0.0,0.0
2.0,0.0,0.0,4.0,6.0,0.0,0.0
1.0,0.0,0.0,4.0,6.0,0.0,0.0
2.0,0.0,0.0,0.0,6.0,2.0,0.0
1.0,0.0,0.0,3.0,6.0,2.0,0.0
0.0,2.0,4.0,0.0,3.0,4.0,0.72127
0.0,2.0,5.0,0.0,0.0,4.0,0.65691
1.0,2.0,4.0,0.0,2.0,4.0,0.64397
1.0,1.0,4.0,2.0,3.0,3.0,0.6289
0.0,1.0,4.0,4.0,3.0,3.0,0.62889
0.0,2.0,2.0,2.0,2.0,5.0,0.63755
0.0,2.0,1.0,2.0,1.0,5.0,0.64773
0.0,2.0,1.0,0.0,0.0,5.0,0.65566
0.0,3.0,1.0,0.0,0.0,5.0,0.53039
1.0,3.0,2.0,0.0,0.0,5.0,0.54166
0.0,1.0,1.0,0.0,2.0,5.0,0.68117
1.0,1.0,1.0,0.0,4.0,5.0,0.6829
0.0,1.0,1.0,0.0,0.0,5.0,0.63582
2.0,3.0,2.0,2.0,4.0,5.0,0.63266
3.0,3.0,2.0,2.0,0.0,5.0,0.61611
3.0,3.0,2.0,3.0,4.0,5.0,0.66785
2.0,4.0,3.0,0.0,4.0,6.0,0.68394
3.0,4.0,3.0,0.0,5.0,6.0,0.6981
3.0,4.0,3.0,2.0,5.0,6.0,0.6788
2.0,3.0,1.0,3.0,0.0,5.0,0.7292
2.0,3.0,1.0,3.0,0.0,5.0,0.65291
0.0,4.0,1.0,3.0,3.0,5.0,0.74988
0.0,2.0,1.0,3.0,4.0,5.0,0.66226
1.0,3.0,2.0,3.0,3.0,5.0,0.73598
0.0,3.0,1.0,0.0,0.0,5.0,0.64032
2.0,6.0,2.0,0.0,1.0,5.0,0.19996
1.0,6.0,2.0,0.0,0.0,5.0,0.20065
2.0,4.0,6.0,0.0,5.0,2.0,0.02808
2.0,4.0,6.0,0.0,5.0,0.0,0.02529
0.0,4.0,6.0,0.0,5.0,0.0,0.02469
0.0,4.0,1.0,0.0,5.0,2.0,0.0
1.0,5.0,2.0,0.0,5.0,1.0,0.0
1.0,2.0,3.0,0.0,5.0,1.0,0.0
0.0,1.0,1.0,0.0,5.0,0.0,0.0
0.0,2.0,2.0,0.0,4.0,0.0,0.02176
0.0,2.0,2.0,2.0,4.0,0.0,0.02127
1.0,1.0,3.0,0.0,5.0,0.0,0.02242
2.0,5.0,2.0,0.0,6.0,1.0,0.15592
2.0,5.0,2.0,0.0,6.0,1.0,0.15287
2.0,5.0,2.0,0.0,6.0,0.0,0.15298
2.0,4.0,1.0,3.0,6.0,2.0,0.15449
2.0,4.0,1.0,3.0,6.0,1.0,0.14858
2.0,3.0,1.0,0.0,6.0,0.0,0.13323
1.0,2.0,4.0,2.0,0.0,4.0,0.67474
1.0,2.0,5.0,0.0,3.0,4.0,0.4625
0.0,2.0,4.0,0.0,0.0,4.0,0.63397
1.0,2.0,5.0,0.0,0.0,4.0,0.63347
2.0,3.0,5.0,0.0,1.0,4.0,0.62905
6.0,4.0,6.0,5.0,3.0,0.0,0.05641
6.0,4.0,6.0,5.0,0.0,0.0,0.05002
6.0,4.0,6.0,5.0,2.0,1.0,0.05149
6.0,6.0,6.0,5.0,3.0,0.0,0.02795
6.0,6.0,6.0,5.0,3.0,0.0,0.03272
6.0,6.0,6.0,5.0,0.0,0.0,0.09816
6.0,6.0,6.0,5.0,3.0,0.0,0.11483
6.0,6.0,6.0,5.0,3.0,0.0,0.10282
6.0,6.0,6.0,6.0,0.0,0.0,0.03961
6.0,6.0,6.0,6.0,2.0,1.0,0.03913
6.0,6.0,6.0,6.0,4.0,1.0,0.03932
6.0,3.0,2.0,5.0,0.0,0.0,0.01969
6.0,3.0,2.0,5.0,0.0,0.0,0.00792
6.0,3.0,2.0,5.0,3.0,0.0,0.00992
6.0,6.0,2.0,5.0,5.0,0.0,0.07135
6.0,6.0,2.0,5.0,4.0,0.0,0.07881
6.0,6.0,2.0,5.0,0.0,0.0,0.06607
6.0,6.0,3.0,5.0,5.0,0.0,0.00568
6.0,6.0,3.0,5.0,0.0,1.0,0.0067
6.0,6.0,4.0,5.0,2.0,0.0,0.00717
6.0,3.0,2.0,5.0,4.0,0.0,0.02839
6.0,2.0,2.0,5.0,0.0,0.0,0.0294
6.0,3.0,2.0,5.0,4.0,0.0,0.02603
6.0,5.0,2.0,5.0,2.0,0.0,0.07451
6.0,5.0,2.0,5.0,4.0,0.0,0.07485
6.0,5.0,3.0,5.0,2.0,0.0,0.07622
2.0,5.0,4.0,0.0,4.0,4.0,0.1682
3.0,5.0,4.0,0.0,0.0,4.0,0.16936
2.0,5.0,4.0,2.0,0.0,4.0,0.16928
6.0,6.0,4.0,5.0,0.0,0.0,0.02221
6.0,6.0,4.0,5.0,4.0,0.0,0.02006
6.0,6.0,4.0,5.0,5.0,0.0,0.01652
0.0,1.0,5.0,0.0,4.0,0.0,0.0
0.0,2.0,5.0,0.0,4.0,0.0,0.0
1.0,2.0,5.0,3.0,3.0,0.0,0.0
2.0,5.0,5.0,0.0,6.0,0.0,0.13608
1.0,4.0,5.0,2.0,6.0,0.0,0.14315
1.0,4.0,5.0,0.0,6.0,0.0,0.1477
4.0,6.0,6.0,4.0,6.0,2.0,0.15548
4.0,6.0,6.0,0.0,6.0,1.0,0.15131
4.0,6.0,6.0,0.0,6.0,1.0,0.13764
4.0,6.0,6.0,3.0,6.0,0.0,0.09215
4.0,6.0,6.0,3.0,6.0,0.0,0.09751
4.0,2.0,1.0,0.0,6.0,0.0,0.0
4.0,6.0,6.0,0.0,6.0,1.0,0.06605
3.0,5.0,6.0,3.0,6.0,1.0,0.10366
4.0,2.0,2.0,4.0,6.0,1.0,0.0
3.0,6.0,6.0,3.0,6.0,1.0,0.05544
3.0,6.0,6.0,3.0,6.0,0.0,0.08471
4.0,2.0,1.0,3.0,6.0,1.0,0.0
3.0,4.0,5.0,2.0,6.0,0.0,0.11299
3.0,4.0,5.0,0.0,6.0,1.0,0.11077
2.0,4.0,5.0,2.0,6.0,0.0,0.11784
2.0,1.0,5.0,2.0,5.0,0.0,0.0
1.0,1.0,5.0,0.0,5.0,0.0,0.0
2.0,1.0,5.0,3.0,5.0,0.0,0.0
6.0,6.0,6.0,6.0,4.0,0.0,0.01887
6.0,6.0,6.0,6.0,4.0,1.0,0.01131
6.0,6.0,6.0,6.0,4.0,0.0,0.01617
6.0,3.0,6.0,5.0,0.0,0.0,0.01306
6.0,3.0,6.0,5.0,0.0,0.0,0.01181
6.0,3.0,6.0,5.0,0.0,0.0,0.01999
1.0,1.0,3.0,0.0,3.0,5.0,0.46831
1.0,1.0,3.0,3.0,0.0,5.0,0.46912
2.0,1.0,3.0,0.0,0.0,5.0,0.53089
2.0,1.0,3.0,0.0,0.0,5.0,0.53505
1.0,1.0,3.0,0.0,0.0,5.0,0.55245
3.0,4.0,1.0,2.0,0.0,4.0,0.08332
2.0,4.0,1.0,0.0,1.0,4.0,0.07902
3.0,4.0,1.0,3.0,0.0,4.0,0.0818
0.0,3.0,3.0,2.0,4.0,3.0,0.53316
1.0,3.0,3.0,0.0,2.0,3.0,0.57466
1.0,3.0,3.0,2.0,0.0,3.0,0.57237
0.0,4.0,3.0,0.0,0.0,4.0,0.77272
0.0,4.0,3.0,0.0,0.0,4.0,0.78618
1.0,2.0,3.0,0.0,0.0,3.0,0.63372
0.0,2.0,3.0,3.0,1.0,3.0,0.61229
1.0,2.0,3.0,0.0,0.0,3.0,0.59677
0.0,6.0,4.0,0.0,5.0,4.0,0.47953
0.0,6.0,4.0,0.0,0.0,4.0,0.49699
3.0,4.0,5.0,0.0,5.0,6.0,0.33696
2.0,5.0,5.0,0.0,3.0,6.0,0.35211
3.0,5.0,5.0,0.0,1.0,6.0,0.37076
1.0,2.0,2.0,4.0,4.0,5.0,0.27883
2.0,2.0,2.0,0.0,4.0,5.0,0.30908
1.0,2.0,3.0,0.0,0.0,5.0,0.28538
2.0,2.0,2.0,0.0,0.0,5.0,0.31091
2.0,2.0,3.0,0.0,4.0,5.0,0.27344
2.0,3.0,3.0,0.0,0.0,5.0,0.29577
2.0,2.0,2.0,3.0,3.0,5.0,0.2839
3.0,2.0,2.0,4.0,2.0,5.0,0.30081
2.0,2.0,2.0,3.0,2.0,5.0,0.28445
0.0,4.0,5.0,3.0,0.0,4.0,0.2757
1.0,3.0,5.0,3.0,0.0,3.0,0.33594
1.0,3.0,5.0,3.0,2.0,3.0,0.35072
4.0,5.0,6.0,3.0,6.0,6.0,0.16912
3.0,5.0,6.0,0.0,2.0,6.0,0.17383
3.0,5.0,6.0,0.0,3.0,6.0,0.20522
2.0,5.0,5.0,0.0,0.0,4.0,0.67963
2.0,4.0,5.0,0.0,6.0,4.0,0.65743
2.0,5.0,5.0,0.0,5.0,4.0,0.63307
4.0,2.0,4.0,3.0,6.0,2.0,0.04874
4.0,2.0,4.0,4.0,6.0,1.0,0.05014
4.0,2.0,5.0,3.0,6.0,1.0,0.04472
4.0,0.0,4.0,4.0,6.0,1.0,0.00735
4.0,0.0,3.0,4.0,6.0,1.0,0.00384
4.0,1.0,4.0,3.0,6.0,1.0,0.00538
4.0,0.0,4.0,4.0,6.0,1.0,0.00041
5.0,0.0,5.0,4.0,6.0,1.0,0.0
5.0,0.0,5.0,4.0,6.0,1.0,0.0
2.0,2.0,4.0,0.0,6.0,2.0,0.03711
3.0,2.0,4.0,3.0,6.0,2.0,0.01411
4.0,2.0,4.0,0.0,6.0,2.0,0.01207
4.0,0.0,3.0,2.0,6.0,1.0,0.0
4.0,0.0,3.0,4.0,6.0,0.0,0.0
4.0,0.0,3.0,0.0,6.0,1.0,0.0
3.0,5.0,1.0,0.0,4.0,6.0,0.0
3.0,5.0,1.0,3.0,5.0,6.0,0.0
3.0,5.0,0.0,3.0,4.0,6.0,0.0
2.0,4.0,0.0,0.0,4.0,5.0,0.0
1.0,3.0,0.0,0.0,4.0,5.0,0.0
1.0,3.0,0.0,0.0,4.0,5.0,0.0
0.0,3.0,0.0,2.0,4.0,5.0,0.0
0.0,3.0,0.0,0.0,3.0,5.0,0.0
0.0,3.0,0.0,0.0,3.0,6.0,0.00579
4.0,6.0,6.0,4.0,6.0,1.0,0.07021
4.0,6.0,6.0,4.0,6.0,1.0,0.06135
4.0,6.0,6.0,4.0,6.0,1.0,0.06716
3.0,0.0,1.0,4.0,5.0,1.0,0.01319
1.0,0.0,1.0,4.0,5.0,1.0,0.01294
2.0,0.0,1.0,4.0,5.0,1.0,0.01236
1.0,0.0,1.0,4.0,6.0,1.0,0.0
3.0,0.0,1.0,3.0,6.0,0.0,0.0
3.0,0.0,1.0,0.0,6.0,1.0,0.0
1.0,0.0,1.0,3.0,6.0,1.0,0.0
2.0,0.0,1.0,4.0,6.0,0.0,0.0
3.0,0.0,1.0,4.0,6.0,1.0,0.0
4.0,0.0,1.0,0.0,6.0,2.0,0.0
4.0,0.0,1.0,3.0,6.0,2.0,0.0
4.0,0.0,1.0,3.0,6.0,2.0,0.0
1.0,4.0,0.0,0.0,0.0,5.0,0.0
1.0,4.0,0.0,0.0,4.0,6.0,0.0
1.0,4.0,0.0,0.0,5.0,6.0,0.0
1.0,4.0,0.0,0.0,0.0,6.0,0.0
2.0,3.0,0.0,0.0,3.0,6.0,0.0
2.0,4.0,0.0,0.0,4.0,6.0,0.0
0.0,4.0,0.0,0.0,5.0,5.0,0.0
1.0,4.0,0.0,0.0,2.0,6.0,0.0
0.0,4.0,0.0,0.0,1.0,6.0,0.0
3.0,5.0,6.0,0.0,5.0,6.0,0.24434
2.0,5.0,6.0,4.0,5.0,6.0,0.25846
3.0,5.0,6.0,0.0,0.0,6.0,0.27516
1.0,3.0,4.0,3.0,4.0,5.0,0.24766
1.0,3.0,4.0,4.0,1.0,5.0,0.23005
2.0,3.0,4.0,0.0,0.0,5.0,0.24679
2.0,3.0,4.0,2.0,3.0,5.0,0.24922
1.0,3.0,5.0,0.0,4.0,5.0,0.2641
0.0,2.0,4.0,4.0,4.0,5.0,0.27461
4.0,1.0,5.0,0.0,2.0,5.0,0.27217
4.0,1.0,5.0,0.0,4.0,5.0,0.31103
4.0,1.0,5.0,4.0,4.0,5.0,0.3857
3.0,3.0,4.0,3.0,4.0,5.0,0.64656
3.0,3.0,4.0,3.0,4.0,5.0,0.73397
3.0,3.0,4.0,0.0,0.0,5.0,0.80331
0.0,4.0,3.0,4.0,3.0,5.0,0.93985
1.0,3.0,3.0,0.0,4.0,5.0,0.92886
2.0,4.0,3.0,0.0,3.0,5.0,0.94019
4.0,1.0,5.0,4.0,4.0,5.0,0.10366
4.0,1.0,5.0,0.0,1.0,4.0,0.10105
4.0,1.0,5.0,4.0,1.0,4.0,0.10253
2.0,0.0,5.0,3.0,0.0,4.0,0.14078
2.0,0.0,5.0,3.0,2.0,4.0,0.15048
2.0,0.0,5.0,0.0,0.0,4.0,0.1451
